state,district,case_type,petitioner_won,resolution_years,year_disposed,lok_adalat_eligible
UP,Allahabad,land_acquisition,1,14.18,2023,0
UP,Allahabad,land_acquisition,1,5.8,2023,0
UP,Allahabad,land_acquisition,0,11.48,2023,0
UP,Allahabad,land_acquisition,1,13.36,2023,0
UP,Allahabad,land_acquisition,0,10.94,2023,0
UP,Allahabad,land_acquisition,0,14.71,2023,0
UP,Allahabad,land_acquisition,0,16.15,2023,0
UP,Allahabad,land_acquisition,1,22.21,2023,0
UP,Allahabad,land_acquisition,1,8.25,2023,0
UP,Allahabad,land_acquisition,1,20.85,2023,0
UP,Allahabad,land_acquisition,1,5.9,2023,0
UP,Allahabad,land_acquisition,0,19.31,2023,0
UP,Allahabad,land_acquisition,0,18.46,2023,0
UP,Allahabad,land_acquisition,1,18.16,2023,0
UP,Allahabad,land_acquisition,0,9.68,2023,0
UP,Allahabad,land_acquisition,0,10.46,2023,0
UP,Allahabad,land_acquisition,1,11.5,2023,0
UP,Allahabad,land_acquisition,0,11.21,2023,0
UP,Allahabad,land_acquisition,1,19.92,2023,0
UP,Allahabad,land_acquisition,1,10.58,2023,0
UP,Allahabad,land_acquisition,0,5.34,2023,0
UP,Allahabad,land_acquisition,0,8.34,2023,0
UP,Allahabad,land_acquisition,1,16.84,2023,0
UP,Allahabad,land_acquisition,1,13.23,2023,0
UP,Allahabad,land_acquisition,0,19.73,2023,0
UP,Allahabad,land_acquisition,1,18.07,2023,0
UP,Allahabad,land_acquisition,0,8.02,2023,0
UP,Allahabad,land_acquisition,1,22.68,2023,0
UP,Allahabad,land_acquisition,1,20.77,2023,0
UP,Allahabad,land_acquisition,1,19.06,2023,0
UP,Allahabad,land_acquisition,0,17.77,2023,0
UP,Allahabad,land_acquisition,1,18.69,2023,0
UP,Allahabad,land_acquisition,0,20.58,2023,0
UP,Allahabad,land_acquisition,0,14.42,2023,0
UP,Allahabad,land_acquisition,0,8.97,2023,0
UP,Allahabad,land_acquisition,0,17.19,2023,0
UP,Allahabad,land_acquisition,1,11.9,2023,0
UP,Allahabad,land_acquisition,0,14.64,2023,0
UP,Allahabad,land_acquisition,1,16.18,2023,0
UP,Allahabad,land_acquisition,0,22.23,2023,0
UP,Allahabad,land_acquisition,0,13.43,2023,0
UP,Allahabad,land_acquisition,1,11.55,2023,0
UP,Allahabad,land_acquisition,0,9.79,2023,0
UP,Allahabad,land_acquisition,0,21.63,2023,0
UP,Allahabad,land_acquisition,1,23.96,2023,0
UP,Allahabad,land_acquisition,1,15.35,2023,0
UP,Allahabad,land_acquisition,0,8.25,2023,0
UP,Allahabad,land_acquisition,1,13.87,2023,0
UP,Allahabad,land_acquisition,1,20.75,2023,0
UP,Allahabad,land_acquisition,0,13.08,2023,0
UP,Allahabad,property_dispute,1,18.16,2023,0
UP,Allahabad,property_dispute,0,15.28,2023,0
UP,Allahabad,property_dispute,0,8.84,2023,0
UP,Allahabad,property_dispute,1,12.74,2023,0
UP,Allahabad,property_dispute,1,5.16,2023,0
UP,Allahabad,property_dispute,1,23.83,2023,0
UP,Allahabad,property_dispute,1,24.64,2023,0
UP,Allahabad,property_dispute,1,10.19,2023,0
UP,Allahabad,property_dispute,0,10.24,2023,0
UP,Allahabad,property_dispute,1,10.96,2023,0
UP,Allahabad,property_dispute,0,14.54,2023,0
UP,Allahabad,property_dispute,0,18.37,2023,0
UP,Allahabad,property_dispute,1,9.55,2023,0
UP,Allahabad,property_dispute,1,6.63,2023,0
UP,Allahabad,property_dispute,1,23.28,2023,0
UP,Allahabad,property_dispute,1,18.46,2023,0
UP,Allahabad,property_dispute,1,19.79,2023,0
UP,Allahabad,property_dispute,1,12.44,2023,0
UP,Allahabad,property_dispute,1,22.19,2023,0
UP,Allahabad,property_dispute,0,21.44,2023,0
UP,Allahabad,property_dispute,0,12.84,2023,0
UP,Allahabad,property_dispute,0,17.77,2023,0
UP,Allahabad,property_dispute,1,19.26,2023,0
UP,Allahabad,property_dispute,1,22.7,2023,0
UP,Allahabad,property_dispute,1,24.83,2023,0
UP,Allahabad,property_dispute,1,13.08,2023,0
UP,Allahabad,property_dispute,1,18.89,2023,0
UP,Allahabad,property_dispute,0,20.42,2023,0
UP,Allahabad,property_dispute,0,11.74,2023,0
UP,Allahabad,property_dispute,0,19.92,2023,0
UP,Allahabad,property_dispute,0,11.34,2023,0
UP,Allahabad,property_dispute,1,13.35,2023,0
UP,Allahabad,property_dispute,0,9.49,2023,0
UP,Allahabad,property_dispute,0,18.35,2023,0
UP,Allahabad,property_dispute,0,18.45,2023,0
UP,Allahabad,property_dispute,0,16.68,2023,0
UP,Allahabad,property_dispute,1,15.7,2023,0
UP,Allahabad,property_dispute,0,20.64,2023,0
UP,Allahabad,property_dispute,1,13.5,2023,0
UP,Allahabad,property_dispute,0,23.69,2023,0
UP,Allahabad,property_dispute,1,6.41,2023,0
UP,Allahabad,property_dispute,0,13.0,2023,0
UP,Allahabad,property_dispute,1,20.98,2023,0
UP,Allahabad,property_dispute,0,14.06,2023,0
UP,Allahabad,property_dispute,0,20.33,2023,0
UP,Allahabad,property_dispute,1,24.81,2023,0
UP,Allahabad,property_dispute,1,7.71,2023,0
UP,Allahabad,property_dispute,0,12.67,2023,0
UP,Allahabad,property_dispute,0,6.24,2023,0
UP,Allahabad,property_dispute,0,5.02,2023,0
UP,Allahabad,criminal_assault,1,2.39,2023,0
UP,Allahabad,criminal_assault,1,4.98,2023,0
UP,Allahabad,criminal_assault,0,7.98,2023,0
UP,Allahabad,criminal_assault,1,7.51,2023,0
UP,Allahabad,criminal_assault,0,2.4,2023,0
UP,Allahabad,criminal_assault,0,4.51,2023,0
UP,Allahabad,criminal_assault,1,5.29,2023,0
UP,Allahabad,criminal_assault,0,6.54,2023,0
UP,Allahabad,criminal_assault,1,3.92,2023,0
UP,Allahabad,criminal_assault,0,4.9,2023,0
UP,Allahabad,criminal_assault,1,4.21,2023,0
UP,Allahabad,criminal_assault,0,1.72,2023,0
UP,Allahabad,criminal_assault,1,7.84,2023,0
